text,toxic
"Evidently it is one rule for unfavorable accounts and another for bitches like Katieh5758 who can flout every rule and get away without a hint of a warning and all thanks to unfit admins. Well if that's the way it is, Fuck you Smalljim. Catch cancer and die as soon as possible.",1
Where am I? What happened?,0
"E. E. Cummings 

E. E. Cummings' name should be capitalised.  Please don't change the spellings to lower-case versions again.  Thanks.  01:13, 12 Apr 2005 (UTC)",0
"""

You like the article? Remember, Jehovah is watching you and writing down all your sins! If you like the article, then stop all the stuffy pseudo-scholar nonsense. You aren't good at it, and neither is Orange Blossom Mike. Just be real. Down to earth. A normal person. I'm trying to edit an article written by James Coram of the Concordant Publishing Concern. You folks, lacking any authority in real life, are tipsy on the authority you have here. Let all the pettifogging go. The Concordant Publishing Concern does not have """"peer reviewed books"""" though it does have many books. The problem is they aren't well known so they haven't been reviewed by peers. Hopefully, with a fully developed article, word about the CV will spread and the CPC writings will become peer reviewed.

Stop being fearful or """"too good"""" to actually email Jim Corman or talk to him on the phone. He is extremely superior to me in patience, and superexcessively nicer.

Just a thought: """"The fruits of the Spirit are love, joy, peace, patience, kindness, goodness, faithfulness, gentleness, self-control."""" Let's all of us, myself included, keep that in mind.

  """,0
"Anonymous is a hacktivist group, they have hackers who are politically motivated, and they comprise a decent portion of the group. My issue with this article is that it relies all to heavily on one book by Olson, which, though OR isn't allowed, I know, is very wrong in some parts. Such as claiming that Anonymous has rules at all.",0
"trivia

this isnt realy important but if anyone wants to add to the trivia area.... half-life appers in the computer episod of modern marvels (a show on the history channel)...its nothing important i just say it today in school and i thought i should say some thing.",0
"""

Origins
The genesis of this page was as the cobbled together embarrassment of an article List of Charmed episodes as it was constituted around the new year of 2009. (See also: Talk:List_of_Charmed_episodes#Article_split_into_subpages and the following section of Talk:List of Charmed episodes) Subsequent systematic improvements to the inadequate alledged synopses of that page gradually showed by late in the month, the page needed split. Subsequently, the list of episodes was split out into four seasons pages, and concurrently work began transforming that page into a page with a table of articles, without the synopses, which will be handled by pages like this one.
These subpages are named to form the series links:

—
—

FYI note Ends // nkB """,0
"""

 Health Problems 

This paragraph refers to Sharif meeting 'Mounir in the hospital, but does not give """"Mounier's"""" first name.

Does anyone know who """"Mounir"""" was or is?""",0
"I appreciate your work on printing, but I do not see the pint of sourcing the entire article in detail to a very elementary textbook. I suggest you simply leave it as a general reference, and consider whether the generalization that it supports in the article are realy appropriate, or should have a wider range of sources. ''''''",0
"Well, it's not exactly verifiable, but here is a quote from Tiamat's Plot Guide (it's not up to WP's standards, but I trust this guy personally):Okay, I finally found the official confirmation that his last name is in fact, Schugerg (well, the katakana is Schugurugu but it probably properly translates to Schugerg).  It was in a Capcom released SFZ2 Arcade
Flyer.  Whew!Hope that at least helps your doubts.",0
"""
I note that there's no """"address"""" and """"phone"""" parameters at Template:Infobox church.  If I change """"address"""" to read """"location"""", the address does display.  I'm not sure if street address is normally included in church infoboxes: the documentation at Template:Infobox church/doc seems to indicate otherwise.  """,0
Self treatment with alcohol for anxiety and being an alcoholic are different things as well as its relation to liver disease attributed to him. I edited the pertinent sentence for your review if found agreeable. Thanks.,0
"""
Your quite welcome you deserve it dog""",1
"There were way too may links. I just purged a bunch to get it more in line with Wikipedia standards, and made a bunch of other edits to clean it up.",0
"Image source problem with Image:B Cadd.JPG

Thanks for uploading Image:B Cadd.JPG. I noticed that the file's description page currently doesn't specify who created the content, so the copyright status is unclear. If you did not create this file yourself, you will need to specify the owner of the copyright. If you obtained it from a website, then a link to the website from which it was taken, together with a restatement of that website's terms of use of its content, is usually sufficient information. However, if the copyright holder is different from the website's publisher, their copyright should also be acknowledged.

As well as adding the source, please add a proper copyright licensing tag if the file doesn't have one already. If you created/took the picture, audio, or video then the  tag can be used to release it under the GFDL. If you believe the media meets the criteria at Wikipedia:Non-free content, use a tag such as  or one of the other tags listed at Wikipedia:Image copyright tags#Fair use. See Wikipedia:Image copyright tags for the full list of copyright tags that you can use.

If you have uploaded other files, consider checking that you have specified their source and tagged them, too. You can find a list of files you have uploaded by following this link. Unsourced and untagged images may be deleted one week after they have been tagged, as described on criteria for speedy deletion. If the image is copyrighted under a non-free license (per Wikipedia:Fair use) then the image will be deleted 48 hours after . If you have any questions please ask them at the Media copyright questions page. Thank you.",0
"""

 WP:FAC for lead(II) nitrate 

Yoh, PC, I just put the lead(II) nitrate article up for FA-class. Feel free to contribute your support.  (Talk) .""",0
"""
Hi. The """"six-month"""" expiration was created for the Republican Party presidential primaries, 2012 page. It's not that sources """"expire"""" as you said, but on that primary page, candidates were was broken down into four categories - declared candidates, currently speculated candidates, formerly speculated candidates and declined. So, once a speculated candidate was no longer being speculated about, he or she wasn't deleted, they were simply moved to the """"formerly speculated"""" section. Because Senate, Congressional and Gubernatorial elections pages make no distinction between """"currently"""" and """"formerly"""" speculated candidates, it doesn't apply. Not in this cycle, in the 2014 cycle, in the 2012 cycle or 2010 and so on. Thanks,   """,0
"Hi!  Thanks for registering and for your offer of help.  As requested by Hu12 (a request which I completely agree with), we first must determine whether is support for adding the IUPHAR links at the appropriate Wiki Projects (WP:MCB and WP:PHARM). I will post a proposal and you are more than welcome to take part in the discussion.  If there is support for the proposal, it should be straight forward to (1) add an optional IUPHAR parameter to the GNF_protein_box template and (2) add the appropriate IUPHAR accession numbers to the appropriate Wikipedia protein articles.  Cheers.",0
(exept for that -is).,0
"You are a notorious editor who has made the past couple of days a nightmare. You filed a report on me when all the disruption was on your side. I bet the proof has gone too. What a fucking mess. You tried to destroy a page that gets over 10,000 views a day - all I did was try and make it right, and you know it. Fuck you, and your anti-Welsh hatred too.",1
"Please stop. If you continue to blank pages, as you did to Edmonton, you will be blocked from editing Wikipedia.",0
"""

 Footnotes reviewed 

OK, The references here were not nearly as bad as they were on the OWU main page, but they still need some attention-particularly around the Campus Crusade for Christ issue.  I personally do not like CCC, but unless you can provide better resources, then I question the inclusion in the section.  I do not believe this event, which appears to be isolated to the campus only, is notable. The article over is improving, but the article still has a fair amount of POV... and it has improved since being nominated for GAR.
 """"[4]^ Roots of Secession: Slavery and Politics in Antebellum Virginia. University of North Carolina Press. Retrieved on 2005-10-15."""" This link does not mention Thomson or Ohio.
""""[5]  ^ The Methodist Movement Comes to America and Impacts Slavery. Reve' M. Pete. Retrieved on 2003-01-01."""" This is a personal website, therefore not a reliable one.
Branch Rickey doesn't belong in an article titled """"Activism AT Ohio Welseyan University.""""  He might be usable in a separate section discussing the legacy or continuing activism of OWU students. But he does not work as examples of activism at OWU.
""""[9]# ^ Mary King. Ohio Wesleyan University. Retrieved on 2006-12-07."""" Does not support the notion that Mary King worked with Martin Luther King or that she did so while a 'young student.'  Nor does the reference mention the SNCC.
""""By February 1987, student political action had brought Ohio Wesleyan to pledge to fully divest holdings connected to South Africa. [16]"""" Are you sure about that date?  I started school in the fall of 87 and the schools involvement with apartheid was a huge issue until my junior year.  Apartheid and environmentalism were the two causes that stood out.
""""[19]^ a b Local Groups. United for Peace and Justice. Retrieved on 2006-08-10."""" This is a list of local groups, but it doesn't mention anything about protest in front of the city hall.
""""[25]^ a b [OWU Read this Column]. The Transcript. Retrieved on 2006-12-12."""" This is an opinion paper article written 3 years after the incident.  It is not a reliable source.
""""[26]^ a b Dear Editor. Kelly Horstman, The Transcript. Retrieved on 2006-12-12."""" This is an opinion page of letter's to the editor written three years BEFORE the issue in question.
""""[27] # ^ Colleges draw line on sidewalk chalk. CNN. Retrieved on 2006-12-03."""" This reference should be removed completely.  It was originally there to support an allegation that chalking was against the rules.  The article says the exact opposite of what was originally stated.  The wording has since been changed but this link remains.
""""[23] # ^ McMurtrie, Beth. """"Crusading for Christ, Amid Keg Parties and Secularism"""", Chronicle of Higher Education, May 18, 2005, p. A42."""" This article was written in 2001-not 2005.  Thus it is impossible for it to discuss events that occured in 2003.  Also, based upon the synopsis, this article does not support any of the allegations in this section.   """,0
"why am I blocked? 

Why am I blocked and when can I edit again?",0
"""

So English people are a """"race"""" now, are they?  I've heard it all now!""",0
vandalism revert: unregistered IP had removed a section; reverted,0
"""
I've restored it. Since it was deleted via WP:PROD, you can contest it at any time, even after it's been deleted. If you still want it userfied, I can do that. )  | Penny for your thoughts?   """,0
"Virtually every developing country, whether Socialist or capitalist, has a rampant black market, so I fail to see how this is pertinent to socialism in particular.",0
i find that offensive that u said i entered a boxing ring with a hand gun and shot the opponent and won. First of all i box and when u accuse a boxer of cheating its like saying ur gonna kill my family. And secondly i sell guns and i would never shot an opponent without good reason,1
(screen actor)|John Schneider,0
.  We'll see what the United Nations has to say before you embarrass yourself further,0
I have reported you for your ongoing harassment.,0
I will. I hope we can sort out the issue furhter on the talkpage ...,0
"""
Furthermore, the Huffington Post source article directly references social media posts in effort to prove a non existent point that there was public acknowledgement of anti-Japanese sentiment being prevalent in any notable fraction of the public regarding the 2011 tsunami disaster. It was bad journalism to the say the least, but to take it further - it's an abhorrent journalistic source when taking in the fact that even the article says """"Some people"""" as in, """"Some people think the disaster was payback for Pearl Harbor,"""" while then giving only a few examples of social networking comments. If anything is worth noting about that article, it's that the author is Asian and likely felt some kind of negative emotion after coming across a few of those posts, so he abused his publishing power to try to make a mockery of the few examples he cited.""",0
"""

Kudzu1 or VQ or both

I know you check here. Get a life.  talk """,0
""":Please read my statement again, carefully. I did not block you because of your contributions at RFA. I disagree with them, but that is beside the point entirely. I blocked you because of your allusions to pedophilia in your post on AN. The only connection RFA has with this block is that the AN discussion resulted from the dispute there. While there was a fair amount of suboptimal contributions from several editors at that RFA, nothing said there was block-worthy. It was the attack on AN, and the specific verbiage employed, that earned the block. As I (and others) have said, you chose wording that was deliberately inflammatory, rather than neutral wording which would have conveyed the same idea, and even your revision of the first sentence wouldn't fix the problem with the rest of the post. '''''' (talk) 

""",0
"Wikiproject NH Mountains
Consider joining WikiProject New Hampshire Mountains. You might be interested. More details are on the project page.",0
"Vandalism

Don't do that again or you won't be a Wikipedian very long.",0
"RE: Orphaned non-free image File:RhythmParadise.jpg 

I just thought it would be useful to include both box arts within the article.",0
